STD_YM|GU_CD|DONG_CD|MCT_CAT_CD|DAY_CD|USE_CNT|USE_AMT
201601|65|101|25|04|497|16304145
201601|65|101|25|05|490|23125474
201601|65|101|25|06|515|21018243
201601|65|101|25|07|528|27794398
201601|65|101|26|01|2237|84230668
201601|65|101|26|02|16636|1160805126
201601|65|101|26|03|13666|1290962848
201601|65|101|26|04|12924|1130342601
201601|65|101|26|05|12880|1302711662
201601|65|101|26|06|14549|1401286022
201601|65|101|26|07|14438|1405873347
201601|65|101|27|01|2944|35673850
201601|65|101|27|02|16658|354661015
201601|65|101|27|03|13379|272164225
201601|65|101|27|04|12815|244775539
201601|65|101|27|05|12427|261440301
201601|65|101|27|06|14876|277486708
201601|65|101|27|07|14647|407569504
201601|65|101|28|01|3853|171649822
201601|65|101|28|02|2349|93979795
201601|65|101|28|03|2497|98271163
201601|65|101|28|04|2759|119740265
201601|65|101|28|05|2575|128273320
201601|65|101|28|06|3585|180384972
201601|65|101|28|07|5615|301007101
201601|65|101|29|01|4552|120432601
201601|65|101|29|02|3057|127740220
201601|65|101|29|03|3106|119550029
201601|65|101|29|04|3150|115974890
201601|65|101|29|05|3521|134006389
201601|65|101|29|06|5509|176284370
201601|65|101|29|07|6003|164175478
201601|65|101|30|01|118515|3168534133
201601|65|101|30|02|123561|3116155086
201601|65|101|30|03|131128|3450430692
201601|65|101|30|04|135429|3681496900
201601|65|101|30|05|138203|3811949363
201601|65|101|30|06|166045|4859637648
201601|65|101|30|07|144785|4426764854
201601|65|101|31|02|35|15414722
201601|65|101|31|03|72|26704297
201601|65|101|31|04|60|25675028
201601|65|101|31|05|70|29009471
201601|65|101|31|06|50|17984259
201601|65|101|31|07|43|11974681
201601|65|101|32|01|14792|173145007
201601|65|101|32|02|11809|135207381
201601|65|101|32|03|12306|136901993
201601|65|101|32|04|12853|158136600
201601|65|101|32|05|13042|148058834
201601|65|101|32|06|15898|194183152
201601|65|101|32|07|15685|194714827
201601|65|101|33|01|1932|79252753
201601|65|101|33|02|2588|391575231
201601|65|101|33|03|2973|150561419
201601|65|101|33|04|2695|101994603
201601|65|101|33|05|2727|123976187
201601|65|101|33|06|3699|164597509
201601|65|101|33|07|3169|119542434
201601|65|101|34|01|85|3149863
201601|65|101|34|02|157|35326756
201601|65|101|34|03|143|24011573
201601|65|101|34|04|122|25252320
201601|65|101|34|05|105|29687797
201601|65|101|34|06|163|28349193
